#	Valor	ID	Clase	IDAtomo	Atomo
169	5	0	8:INT_LIT	51	n	52
170	;	59	7:SPECIAL	48	;	52
171	id[3]	3	1:ID	20	a	53
172	:=	0	11:ASSIGN	54	=	53
173	id[2]	2	1:ID	20	a	53
174	+	43	5:A_OPER	33	+	53
175	3	0	8:INT_LIT	51	n	53
176	;	59	7:SPECIAL	48	;	53
177	IF	9	0:KEYWORD	9	s	54
178	id[2]	2	1:ID	20	a	54
179	>=	5	6:R_OPER	42	$	54
180	18	0	8:INT_LIT	51	n	54
181	THEN	15	0:KEYWORD	15	h	54
182	BEGIN	2	0:KEYWORD	2	e	55
183	id[3]	3	1:ID	20	a	56
184	:=	0	11:ASSIGN	54	=	56
185	40	0	8:INT_LIT	51	n	56
186	END	7	0:KEYWORD	7	f	57
187	;	59	7:SPECIAL	48	;	57
188	;	59	7:SPECIAL	48	;	57
189	writeln	5	4:PROCED	32	m	58
190	(	40	7:SPECIAL	43	(	58
191	str[0]	0	10:STRING	53	"	58
192	)	41	7:SPECIAL	44	)	58
193	4	0	8:INT_LIT	51	n	58
194	;	59	7:SPECIAL	48	;	58
195	IF	9	0:KEYWORD	9	s	59
196	id[2]	2	1:ID	20	a	59
197	=	2	6:R_OPER	39	¿	59
198	60	0	8:INT_LIT	51	n	59
199	THEN	15	0:KEYWORD	15	h	59
200	id[5]	5	1:ID	20	a	60
201	:=	0	11:ASSIGN	54	=	60
202	0	0	8:INT_LIT	51	n	60
203	;	59	7:SPECIAL	48	;	60
204	;	59	7:SPECIAL	48	;	60
205	FOR	8	0:KEYWORD	8	p	61
206	id[5]	5	1:ID	20	a	61
207	:=	0	11:ASSIGN	54	=	61
208	57005	0	8:INT_LIT	51	n	61
209	DOWNTO	5	0:KEYWORD	5	d	61
210	id[6]	6	1:ID	20	a	61
211	+	43	5:A_OPER	33	+	61
212	8	0	8:INT_LIT	51	n	61
213	DO	4	0:KEYWORD	4	z	61
214	BEGIN	2	0:KEYWORD	2	e	62
215	writeln	5	4:PROCED	32	m	63
216	(	40	7:SPECIAL	43	(	63
217	str[1]	1	10:STRING	53	"	63
218	)	41	7:SPECIAL	44	)	63
219	END	7	0:KEYWORD	7	f	64
220	;	59	7:SPECIAL	48	;	64
221	IF	9	0:KEYWORD	9	s	65
222	id[2]	2	1:ID	20	a	65
223	=	2	6:R_OPER	39	¿	65
224	id[3]	3	1:ID	20	a	65
225	THEN	15	0:KEYWORD	15	h	65
226	id[5]	5	1:ID	20	a	66
227	:=	0	11:ASSIGN	54	=	66
228	90	0	8:INT_LIT	51	n	66
229	;	59	7:SPECIAL	48	;	66
230	;	59	7:SPECIAL	48	;	66
231	IF	9	0:KEYWORD	9	s	67
232	id[7]	7	1:ID	20	a	67
233	=	2	6:R_OPER	39	¿	67
234	id[8]	8	1:ID	20	a	67
235	THEN	15	0:KEYWORD	15	h	67
236	id[5]	5	1:ID	20	a	68
237	:=	0	11:ASSIGN	54	=	68
238	90	0	8:INT_LIT	51	n	68
239	;	59	7:SPECIAL	48	;	68
240	;	59	7:SPECIAL	48	;	68
241	REPEAT	14	0:KEYWORD	14	@	69
242	id[9]	9	1:ID	20	a	69
243	:=	0	11:ASSIGN	54	=	69
244	id[10]	10	1:ID	20	a	69
245	+	43	5:A_OPER	33	+	69
246	1	0	8:INT_LIT	51	n	69
247	UNTIL	17	0:KEYWORD	17	k	69
248	id[9]	9	1:ID	20	a	69
249	>	4	6:R_OPER	41	>	69
250	9	0	8:INT_LIT	51	n	69
251	;	59	7:SPECIAL	48	;	69
252	REPEAT	14	0:KEYWORD	14	@	70
253	id[9]	9	1:ID	20	a	70
254	:=	0	11:ASSIGN	54	=	70
255	id[10]	10	1:ID	20	a	70
256	+	43	5:A_OPER	33	+	70
257	1	0	8:INT_LIT	51	n	70
258	UNTIL	17	0:KEYWORD	17	k	70
259	id[9]	9	1:ID	20	a	70
260	>	4	6:R_OPER	41	>	70
261	9	0	8:INT_LIT	51	n	70
262	;	59	7:SPECIAL	48	;	70
263	FOR	8	0:KEYWORD	8	p	71
264	id[5]	5	1:ID	20	a	71
265	:=	0	11:ASSIGN	54	=	71
266	57005	0	8:INT_LIT	51	n	71
267	DOWNTO	5	0:KEYWORD	5	d	71
268	id[11]	11	1:ID	20	a	71
269	DO	4	0:KEYWORD	4	z	71
270	BEGIN	2	0:KEYWORD	2	e	72
271	writeln	5	4:PROCED	32	m	73
272	(	40	7:SPECIAL	43	(	73
273	str[1]	1	10:STRING	53	"	73
274	)	41	7:SPECIAL	44	)	73
275	END	7	0:KEYWORD	7	f	74
276	;	59	7:SPECIAL	48	;	74
277	id[2]	2	1:ID	20	a	76
278	:=	0	11:ASSIGN	54	=	76
279	5	0	8:INT_LIT	51	n	76
280	;	59	7:SPECIAL	48	;	76
281	id[3]	3	1:ID	20	a	77
282	:=	0	11:ASSIGN	54	=	77
283	id[2]	2	1:ID	20	a	77
284	+	43	5:A_OPER	33	+	77
285	3	0	8:INT_LIT	51	n	77
286	;	59	7:SPECIAL	48	;	77
287	IF	9	0:KEYWORD	9	s	78
288	id[2]	2	1:ID	20	a	78
289	>=	5	6:R_OPER	42	$	78
290	18	0	8:INT_LIT	51	n	78
291	THEN	15	0:KEYWORD	15	h	78
292	BEGIN	2	0:KEYWORD	2	e	79
293	id[3]	3	1:ID	20	a	80
294	:=	0	11:ASSIGN	54	=	80
295	40	0	8:INT_LIT	51	n	80
296	END	7	0:KEYWORD	7	f	81
297	;	59	7:SPECIAL	48	;	81
298	;	59	7:SPECIAL	48	;	81
299	writeln	5	4:PROCED	32	m	82
300	(	40	7:SPECIAL	43	(	82
301	str[0]	0	10:STRING	53	"	82
302	)	41	7:SPECIAL	44	)	82
303	4	0	8:INT_LIT	51	n	82
304	;	59	7:SPECIAL	48	;	82
305	IF	9	0:KEYWORD	9	s	83
306	id[2]	2	1:ID	20	a	83
307	=	2	6:R_OPER	39	¿	83
308	60	0	8:INT_LIT	51	n	83
309	THEN	15	0:KEYWORD	15	h	83
310	id[5]	5	1:ID	20	a	84
311	:=	0	11:ASSIGN	54	=	84
312	0	0	8:INT_LIT	51	n	84
313	;	59	7:SPECIAL	48	;	84
314	;	59	7:SPECIAL	48	;	84
315	FOR	8	0:KEYWORD	8	p	85
316	id[5]	5	1:ID	20	a	85
317	:=	0	11:ASSIGN	54	=	85
318	57005	0	8:INT_LIT	51	n	85
319	DOWNTO	5	0:KEYWORD	5	d	85
320	id[6]	6	1:ID	20	a	85
321	+	43	5:A_OPER	33	+	85
322	8	0	8:INT_LIT	51	n	85
323	DO	4	0:KEYWORD	4	z	85
324	BEGIN	2	0:KEYWORD	2	e	86
325	writeln	5	4:PROCED	32	m	87
326	(	40	7:SPECIAL	43	(	87
